test,topology_or_base,target,solver_maxerr,sim_maxerr
program,regular,two_fold,0.162,0.163
program,aniso_str,two_fold,0.199,0.274
program,aniso_shr,two_fold,0.163,0.165
program,disorder_lo,two_fold,0.195,0.195
program,disorder_hi,two_fold,0.234,0.235
program,regular,four_fold,0.047,0.044
program,aniso_str,four_fold,0.089,0.078
program,aniso_shr,four_fold,0.046,0.047
program,disorder_lo,four_fold,0.047,0.045
program,disorder_hi,four_fold,0.047,0.045
program,regular,dir_aux,0.466,0.466
program,aniso_str,dir_aux,0.465,0.467
program,aniso_shr,dir_aux,0.466,0.468
program,disorder_lo,dir_aux,0.480,0.480
program,disorder_hi,dir_aux,0.502,0.503
isotropize,aniso_str,nu0=+0.80,0.512,0.771
isotropize,aniso_str,nu0=+0.50,0.425,0.421
isotropize,aniso_str,nu0=+0.33,0.280,0.276
isotropize,aniso_str,nu0=+0.00,0.001,0.019
isotropize,aniso_str,nu0=-0.20,0.097,0.165
isotropize,aniso_str,nu0=-0.50,0.051,0.223
isotropize,aniso_str,nu0=-0.80,0.019,0.047
isotropize,aniso_shr,nu0=+0.80,0.149,0.151
isotropize,aniso_shr,nu0=+0.50,0.000,0.003
isotropize,aniso_shr,nu0=+0.33,0.000,0.005
isotropize,aniso_shr,nu0=+0.00,0.000,0.002
isotropize,aniso_shr,nu0=-0.20,0.000,0.004
isotropize,aniso_shr,nu0=-0.50,0.000,0.007
isotropize,aniso_shr,nu0=-0.80,0.571,3.236
isotropize,disorder_hi,nu0=+0.80,0.213,0.215
isotropize,disorder_hi,nu0=+0.50,0.000,0.001
isotropize,disorder_hi,nu0=+0.33,0.000,0.000
isotropize,disorder_hi,nu0=+0.00,0.000,0.001
isotropize,disorder_hi,nu0=-0.20,0.000,0.002
isotropize,disorder_hi,nu0=-0.50,0.001,0.003
isotropize,disorder_hi,nu0=-0.80,0.001,0.003
independent,regular,E-anisotropic / nu-isotropic,0.069,0.069
independent,aniso_str,E-anisotropic / nu-isotropic,0.240,0.238
independent,regular,nu-anisotropic / E-isotropic,0.311,0.312
independent,aniso_str,nu-anisotropic / E-isotropic,0.333,0.334
