phi,psi,nu_min,nu_max,E_min,E_max,E_anisotropy
0.5,1,0.1877,0.5622,0.7144,1.6764,2.347
1,1,0.3333,0.3333,1.1547,1.1547,1.000
1.5,1,0.1877,0.5622,0.7144,1.6764,2.347
2,1,0.0000,0.9990,0.3975,2.2322,5.615
2.5,1,-0.4167,1.7705,0.2054,2.8180,13.720
3,1,-1.0000,3.0000,0.1050,3.4641,33.000
3.5,1,-2.0520,4.7708,0.0555,4.5949,82.765
4,1,-3.6334,7.1802,0.0310,6.1584,198.639
0.5,2,0.0625,0.7013,0.4714,3.1294,6.638
1,2,0.0833,0.4582,0.5774,3.0792,5.333
1.5,2,0.0625,0.7013,0.4714,3.1294,6.638
2,2,-0.0000,1.0000,0.3569,3.3441,9.369
2.5,2,-0.2674,1.3781,0.2595,3.7045,14.275
3,2,-0.6200,1.8704,0.1848,4.2229,22.854
3.5,2,-1.0548,2.5148,0.1303,4.8319,37.084
4,2,-1.6667,3.3206,0.0915,5.5981,61.171
0.5,3,0.0278,0.7274,0.3412,4.9608,14.538
1,3,0.0370,0.4814,0.3849,4.9227,12.789
1.5,3,0.0278,0.7274,0.3412,4.9608,14.538
2,3,0.0000,0.9967,0.2882,5.0800,17.628
2.5,3,-0.2606,1.3056,0.2369,5.2940,22.347
3,3,-0.5508,1.6667,0.1911,5.6234,29.423
3.5,3,-0.8851,2.0799,0.1524,6.0842,39.912
4,3,-1.2816,2.5201,0.1210,6.6511,54.960
0.5,4,0.0156,0.7259,0.2659,6.6856,25.148
1,4,0.0208,0.4891,0.2887,6.7183,23.273
1.5,4,0.0156,0.7259,0.2659,6.6856,25.148
2,4,-0.0000,0.9941,0.2359,6.5723,27.866
2.5,4,-0.2510,1.2824,0.2057,6.5501,31.841
3,4,-0.4931,1.5729,0.1774,7.1508,40.317
3.5,4,-0.7822,1.8841,0.1508,7.6171,50.517
4,4,-1.1471,2.3333,0.1277,7.6653,60.021
