theta_deg,nu_theta,E_theta
0.0,-0.2500,0.5774
5.0,-0.2207,0.7051
10.0,-0.1179,0.8527
15.0,0.0708,1.0128
20.0,0.3376,1.1780
25.0,0.6544,1.3479
30.0,0.9862,1.5343
35.0,1.3038,1.7635
40.0,1.5857,2.0765
45.0,1.8007,2.5267
50.0,1.8704,3.1562
55.0,1.6200,3.8760
60.0,0.8857,4.2229
65.0,-0.0253,3.6672
70.0,-0.5359,2.6034
75.0,-0.6200,1.7076
80.0,-0.5192,1.1295
85.0,-0.3773,0.7796
90.0,-0.2449,0.5656
95.0,-0.1348,0.4307
100.0,-0.0474,0.3428
105.0,0.0199,0.2842
110.0,0.0701,0.2445
115.0,0.1057,0.2176
120.0,0.1286,0.2000
125.0,0.1401,0.1895
130.0,0.1411,0.1848
135.0,0.1321,0.1853
140.0,0.1132,0.1910
145.0,0.0845,0.2023
150.0,0.0461,0.2198
155.0,-0.0017,0.2451
160.0,-0.0577,0.2801
165.0,-0.1189,0.3274
170.0,-0.1795,0.3904
175.0,-0.2288,0.4727
180.0,-0.2500,0.5774
