theta_deg,nu_target,nu_kf0.05,nu_kf0.02,nu_kf0.008,nu_kf0.003,nu_kf0.001
0.0,-2.6667,0.5334,0.7283,0.9237,1.0791,1.1958
5.0,-1.9935,0.5343,0.7239,0.9067,1.0477,1.1519
10.0,0.6110,0.4795,0.6391,0.7919,0.9062,0.9859
15.0,4.2391,0.3590,0.4513,0.5428,0.6048,0.6358
20.0,6.7573,0.1676,0.1373,0.1133,0.0769,0.0191
25.0,7.1802,-0.0770,-0.2845,-0.4797,-0.6555,-0.8234
30.0,4.1111,-0.3167,-0.6924,-1.0313,-1.2975,-1.5036
35.0,-1.4193,-0.4719,-0.9083,-1.2559,-1.4867,-1.6303
40.0,-3.6334,-0.5036,-0.8820,-1.1374,-1.2800,-1.3520
45.0,-3.2593,-0.4382,-0.7137,-0.8721,-0.9486,-0.9813
50.0,-2.4521,-0.3277,-0.5118,-0.6042,-0.6443,-0.6601
55.0,-1.7738,-0.2111,-0.3299,-0.3832,-0.4047,-0.4136
60.0,-1.2711,-0.1071,-0.1828,-0.2134,-0.2254,-0.2315
65.0,-0.9050,-0.0222,-0.0698,-0.0870,-0.0939,-0.0988
70.0,-0.6367,0.0433,0.0143,0.0052,0.0013,-0.0031
75.0,-0.4379,0.0911,0.0743,0.0704,0.0682,0.0641
80.0,-0.2893,0.1230,0.1145,0.1138,0.1127,0.1087
85.0,-0.1780,0.1406,0.1374,0.1388,0.1383,0.1343
90.0,-0.0952,0.1450,0.1449,0.1473,0.1469,0.1430
95.0,-0.0352,0.1369,0.1377,0.1401,0.1395,0.1353
100.0,0.0062,0.1166,0.1157,0.1168,0.1154,0.1107
105.0,0.0315,0.0838,0.0780,0.0761,0.0729,0.0674
110.0,0.0422,0.0387,0.0233,0.0154,0.0090,0.0020
115.0,0.0390,-0.0185,-0.0505,-0.0688,-0.0813,-0.0912
120.0,0.0216,-0.0862,-0.1448,-0.1815,-0.2049,-0.2200
125.0,-0.0108,-0.1601,-0.2593,-0.3272,-0.3705,-0.3959
130.0,-0.0601,-0.2320,-0.3886,-0.5074,-0.5867,-0.6323
135.0,-0.1292,-0.2878,-0.5157,-0.7107,-0.8524,-0.9377
140.0,-0.2225,-0.3087,-0.6052,-0.8942,-1.1302,-1.2873
145.0,-0.3463,-0.2771,-0.6059,-0.9648,-1.2973,-1.5523
150.0,-0.5095,-0.1864,-0.4780,-0.8125,-1.1515,-1.4521
155.0,-0.7247,-0.0483,-0.2347,-0.4326,-0.6336,-0.8345
160.0,-1.0081,0.1114,0.0564,0.0294,0.0094,-0.0288
165.0,-1.3786,0.2652,0.3237,0.4233,0.5215,0.5895
170.0,-1.8452,0.3932,0.5289,0.6958,0.8439,0.9548
175.0,-2.3607,0.4845,0.6630,0.8559,1.0161,1.1370
180.0,-2.6667,0.5334,0.7283,0.9237,1.0791,1.1958
