theta_deg,nu_target,nu_reg0.01,nu_reg0.001,nu_reg0.0001,E_reg0.01,E_reg0.001,E_reg0.0001
0.0,1.0000,6.1415,1.0327,1.0347,0.0067,0.0001,0.0001
5.0,1.0000,6.4051,1.0303,1.0344,0.0075,0.0002,0.0001
10.0,1.0000,6.7996,1.0078,1.0296,0.0108,0.0002,0.0001
15.0,1.0000,5.6415,0.9572,1.0167,0.0204,0.0002,0.0001
20.0,1.0000,-4.8407,0.8681,0.9860,0.0286,0.0002,0.0002
25.0,1.0000,-7.1728,0.7346,0.9114,0.0110,0.0002,0.0003
30.0,1.0000,-4.3047,0.5713,0.7173,0.0039,0.0003,0.0004
35.0,1.0000,-2.6077,0.4225,0.2343,0.0017,0.0003,0.0008
40.0,1.0000,-1.6551,0.3333,-0.3231,0.0009,0.0002,0.0010
45.0,1.0000,-1.0771,0.3112,-0.1067,0.0006,0.0002,0.0006
50.0,1.0000,-0.7021,0.3321,0.2704,0.0004,0.0002,0.0004
55.0,1.0000,-0.4467,0.3700,0.4928,0.0003,0.0001,0.0002
60.0,1.0000,-0.2671,0.4091,0.6153,0.0002,0.0001,0.0001
65.0,1.0000,-0.1384,0.4423,0.6861,0.0002,0.0001,0.0001
70.0,1.0000,-0.0460,0.4673,0.7285,0.0001,0.0001,0.0001
75.0,1.0000,0.0192,0.4837,0.7537,0.0001,0.0001,0.0001
80.0,1.0000,0.0631,0.4915,0.7673,0.0001,0.0001,0.0001
85.0,1.0000,0.0890,0.4910,0.7718,0.0001,0.0001,0.0001
90.0,1.0000,0.0989,0.4822,0.7682,0.0001,0.0001,0.0001
95.0,1.0000,0.0935,0.4649,0.7559,0.0001,0.0001,0.0001
100.0,1.0000,0.0726,0.4390,0.7331,0.0001,0.0001,0.0001
105.0,1.0000,0.0345,0.4044,0.6955,0.0001,0.0001,0.0001
110.0,1.0000,-0.0236,0.3618,0.6355,0.0001,0.0001,0.0001
115.0,1.0000,-0.1065,0.3140,0.5378,0.0002,0.0001,0.0002
120.0,1.0000,-0.2216,0.2679,0.3751,0.0002,0.0001,0.0002
125.0,1.0000,-0.3811,0.2366,0.1113,0.0003,0.0001,0.0004
130.0,1.0000,-0.6041,0.2391,-0.1904,0.0003,0.0002,0.0006
135.0,1.0000,-0.9232,0.2923,-0.1088,0.0005,0.0002,0.0007
140.0,1.0000,-1.3946,0.3973,0.3697,0.0008,0.0002,0.0005
145.0,1.0000,-2.1176,0.5331,0.7119,0.0013,0.0002,0.0003
150.0,1.0000,-3.2461,0.6701,0.8766,0.0026,0.0002,0.0002
155.0,1.0000,-4.7396,0.7876,0.9542,0.0059,0.0002,0.0001
160.0,1.0000,-4.1074,0.8786,0.9930,0.0131,0.0001,0.0001
165.0,1.0000,2.2391,0.9448,1.0138,0.0150,0.0001,0.0001
170.0,1.0000,5.5057,0.9904,1.0253,0.0103,0.0001,0.0001
175.0,1.0000,6.0242,1.0191,1.0317,0.0075,0.0001,0.0001
180.0,1.0000,6.1415,1.0327,1.0347,0.0067,0.0001,0.0001
