theta_deg,nu_target,nu_achieved_sim,E_target,E_achieved_sim
0.0,-2.6667,0.3049,1.1547,11029869564487735967744.0000
5.0,-1.9935,0.2396,2.0747,11494832532806340444160.0000
10.0,0.6110,0.1143,3.2889,13057996421530323517440.0000
15.0,4.2391,-0.1178,4.2719,16439908953348957536256.0000
20.0,6.7573,-0.6002,4.9632,24010037019003018280960.0000
25.0,7.1802,-2.0052,5.7502,47085355384734633426944.0000
30.0,4.1111,-32.0962,6.1584,555139400118172496429056.0000
35.0,-1.4193,4.6848,4.5520,-68045475293232610934784.0000
40.0,-3.6334,2.7786,2.3124,-37372557833397646393344.0000
45.0,-3.2593,2.1974,1.1015,-29832602775925014134784.0000
50.0,-2.4521,1.9189,0.5693,-28701637639138445361152.0000
55.0,-1.7738,1.7502,0.3252,-31955444496589383532544.0000
60.0,-1.2711,1.6136,0.2030,-41535066299538891341824.0000
65.0,-0.9050,1.4159,0.1365,-67365422463833983680512.0000
70.0,-0.6367,0.6244,0.0977,-182213481610487575609344.0000
75.0,-0.4379,5.5633,0.0738,471375029571961762086912.0000
80.0,-0.2893,3.5796,0.0584,156769592817115012792320.0000
85.0,-0.1780,4.6004,0.0481,162357132941869013008384.0000
90.0,-0.0952,28.4082,0.0412,1027633617240096916897792.0000
95.0,-0.0352,-2.3264,0.0366,-111610130330084150607872.0000
100.0,0.0062,-0.3853,0.0336,-44006396203723713937408.0000
105.0,0.0315,0.1846,0.0318,-25766230916123668250624.0000
110.0,0.0422,0.4521,0.0310,-18085127265333431762944.0000
115.0,0.0390,0.6078,0.0312,-14272475554673250533376.0000
120.0,0.0216,0.7130,0.0324,-12332423029805297958912.0000
125.0,-0.0108,0.7945,0.0346,-11540493573072877518848.0000
130.0,-0.0601,0.8686,0.0382,-11683121495399177650176.0000
135.0,-0.1292,0.9511,0.0437,-12911681707436454969344.0000
140.0,-0.2225,1.0693,0.0516,-15992773555896855822336.0000
145.0,-0.3463,1.3072,0.0635,-23867777274054250070016.0000
150.0,-0.5095,2.2489,0.0814,-57888248442208879902720.0000
155.0,-0.7247,-2.2956,0.1093,109222651402677634727936.0000
160.0,-1.0081,-0.0980,0.1547,28586647969864100085760.0000
165.0,-1.3786,0.2041,0.2322,17291866307728221667328.0000
170.0,-1.8452,0.3019,0.3723,13221380526937749848064.0000
175.0,-2.3607,0.3262,0.6385,11513004860227712974848.0000
180.0,-2.6667,0.3049,1.1547,11029869564487735967744.0000
