theta_deg,nu_target,nu_achieved_sim,E_target,E_achieved_sim
0.0,-2.6667,-0.8792,1.1547,0.1570
5.0,-1.9935,0.4993,2.0747,0.1762
10.0,0.6110,1.7068,3.2889,0.1734
15.0,4.2391,2.4266,4.2719,0.1665
20.0,6.7573,2.7611,4.9632,0.1677
25.0,7.1802,2.7956,5.7502,0.1829
30.0,4.1111,2.4087,6.1584,0.2154
35.0,-1.4193,1.1960,4.5520,0.2578
40.0,-3.6334,-0.9353,2.3124,0.2636
45.0,-3.2593,-2.4171,1.1015,0.1951
50.0,-2.4521,-2.4114,0.5693,0.1158
55.0,-1.7738,-1.8584,0.3252,0.0668
60.0,-1.2711,-1.3246,0.2030,0.0407
65.0,-0.9050,-0.9164,0.1365,0.0266
70.0,-0.6367,-0.6186,0.0977,0.0186
75.0,-0.4379,-0.4019,0.0738,0.0138
80.0,-0.2893,-0.2433,0.0584,0.0108
85.0,-0.1780,-0.1269,0.0481,0.0088
90.0,-0.0952,-0.0419,0.0412,0.0075
95.0,-0.0352,0.0187,0.0366,0.0066
100.0,0.0062,0.0596,0.0336,0.0061
105.0,0.0315,0.0835,0.0318,0.0057
110.0,0.0422,0.0924,0.0310,0.0056
115.0,0.0390,0.0867,0.0312,0.0057
120.0,0.0216,0.0661,0.0324,0.0059
125.0,-0.0108,0.0296,0.0346,0.0064
130.0,-0.0601,-0.0253,0.0382,0.0071
135.0,-0.1292,-0.1021,0.0437,0.0082
140.0,-0.2225,-0.2061,0.0516,0.0099
145.0,-0.3463,-0.3449,0.0635,0.0124
150.0,-0.5095,-0.5286,0.0814,0.0162
155.0,-0.7247,-0.7691,0.1093,0.0223
160.0,-1.0081,-1.0747,0.1547,0.0323
165.0,-1.3786,-1.4297,0.2322,0.0490
170.0,-1.8452,-1.7317,0.3723,0.0765
175.0,-2.3607,-1.6813,0.6385,0.1164
180.0,-2.6667,-0.8792,1.1547,0.1570
