theta_deg,nu_target,nu_achieved_diffpath,nu_achieved_independent
0.0,0.0000,0.0971,0.1024
5.0,0.0193,0.0829,0.0881
10.0,0.0386,0.0763,0.0813
15.0,0.0579,0.0772,0.0819
20.0,0.0772,0.0849,0.0895
25.0,0.0965,0.0983,0.1027
30.0,0.1157,0.1160,0.1204
35.0,0.1350,0.1365,0.1410
40.0,0.1543,0.1584,0.1631
45.0,0.1736,0.1804,0.1855
50.0,0.1929,0.2014,0.2071
55.0,0.2122,0.2208,0.2271
60.0,0.2315,0.2379,0.2451
65.0,0.2508,0.2524,0.2606
70.0,0.2701,0.2642,0.2738
75.0,0.2894,0.2739,0.2851
80.0,0.3086,0.2822,0.2954
85.0,0.3279,0.2913,0.3067
90.0,0.3472,0.3045,0.3225
95.0,0.3665,0.3268,0.3469
100.0,0.3858,0.3618,0.3830
105.0,0.4051,0.4070,0.4268
110.0,0.4244,0.4495,0.4658
115.0,0.4437,0.4749,0.4869
120.0,0.4630,0.4788,0.4871
125.0,0.4823,0.4651,0.4711
130.0,0.4960,0.4400,0.4447
135.0,0.4464,0.4082,0.4122
140.0,0.3968,0.3724,0.3762
145.0,0.3472,0.3341,0.3380
150.0,0.2976,0.2945,0.2987
155.0,0.2480,0.2547,0.2593
160.0,0.1984,0.2159,0.2208
165.0,0.1488,0.1793,0.1845
170.0,0.0992,0.1464,0.1517
175.0,0.0496,0.1186,0.1240
180.0,0.0000,0.0971,0.1024
