theta_deg,nu_target,nu_achieved_diffpath,nu_achieved_independent
0.0,-0.1000,-0.0042,-0.0021
5.0,-0.0537,-0.0576,-0.0554
10.0,-0.0074,-0.0664,-0.0642
15.0,0.0389,-0.0274,-0.0252
20.0,0.0852,0.0457,0.0480
25.0,0.1315,0.1323,0.1347
30.0,0.1778,0.2152,0.2177
35.0,0.2241,0.2850,0.2875
40.0,0.2704,0.3378,0.3403
45.0,0.3167,0.3733,0.3758
50.0,0.3630,0.3921,0.3945
55.0,0.4093,0.3946,0.3971
60.0,0.4556,0.3812,0.3836
65.0,0.4952,0.3512,0.3536
70.0,0.3762,0.3042,0.3065
75.0,0.2571,0.2402,0.2424
80.0,0.1381,0.1615,0.1636
85.0,0.0190,0.0752,0.0773
90.0,-0.1000,-0.0042,-0.0021
95.0,-0.0537,-0.0568,-0.0546
100.0,-0.0074,-0.0655,-0.0632
105.0,0.0389,-0.0271,-0.0248
110.0,0.0852,0.0452,0.0473
115.0,0.1315,0.1312,0.1330
120.0,0.1778,0.2138,0.2153
125.0,0.2241,0.2837,0.2849
130.0,0.2704,0.3369,0.3379
135.0,0.3167,0.3729,0.3737
140.0,0.3630,0.3921,0.3930
145.0,0.4093,0.3953,0.3961
150.0,0.4556,0.3823,0.3832
155.0,0.4952,0.3528,0.3538
160.0,0.3762,0.3061,0.3073
165.0,0.2571,0.2421,0.2436
170.0,0.1381,0.1631,0.1648
175.0,0.0190,0.0761,0.0781
180.0,-0.1000,-0.0042,-0.0021
