theta_deg,nu_theta,E_theta
0.0,0.1024,0.1369
5.0,0.0881,0.1326
10.0,0.0813,0.1292
15.0,0.0819,0.1265
20.0,0.0895,0.1247
25.0,0.1027,0.1237
30.0,0.1204,0.1238
35.0,0.1410,0.1252
40.0,0.1631,0.1280
45.0,0.1855,0.1328
50.0,0.2071,0.1398
55.0,0.2271,0.1498
60.0,0.2451,0.1637
65.0,0.2606,0.1826
70.0,0.2738,0.2083
75.0,0.2851,0.2430
80.0,0.2954,0.2899
85.0,0.3067,0.3520
90.0,0.3225,0.4310
95.0,0.3469,0.5225
100.0,0.3830,0.6088
105.0,0.4268,0.6589
110.0,0.4658,0.6491
115.0,0.4869,0.5865
120.0,0.4871,0.5011
125.0,0.4711,0.4183
130.0,0.4447,0.3492
135.0,0.4122,0.2951
140.0,0.3762,0.2540
145.0,0.3380,0.2230
150.0,0.2987,0.1995
155.0,0.2593,0.1816
160.0,0.2208,0.1679
165.0,0.1845,0.1573
170.0,0.1517,0.1489
175.0,0.1240,0.1423
180.0,0.1024,0.1369
