case,topology,field,patch_target,patch_sim,out_target,out_sim
disc_auxetic,regular,nu,-0.3,-0.296,0.3,0.300
square_auxetic,regular,nu,-0.3,-0.294,0.3,0.300
triangle_auxetic,regular,nu,-0.3,-0.292,0.3,0.299
ring_auxetic,regular,nu,-0.3,-0.296,0.3,0.300
normal_in_auxetic,regular,nu,0.3,0.302,-0.3,-0.294
stiffE_in_soft,regular,E,1.6,1.601,0.7,0.698
softE_in_stiff,regular,E,0.6,0.600,1.4,1.394
decoupled,regular,E&nu,-0.3,-0.298,1.8,1.804
disc_auxetic,aniso_str,nu,-0.3,-0.270,0.3,0.217
square_auxetic,aniso_str,nu,-0.3,-0.286,0.3,0.219
triangle_auxetic,aniso_str,nu,-0.3,-0.286,0.3,0.253
ring_auxetic,aniso_str,nu,-0.3,-0.283,0.3,0.227
normal_in_auxetic,aniso_str,nu,0.3,0.298,-0.3,-0.170
stiffE_in_soft,aniso_str,E,1.6,1.597,0.7,0.565
softE_in_stiff,aniso_str,E,0.6,0.594,1.4,1.183
decoupled,aniso_str,E&nu,-0.3,-0.288,1.8,1.753
disc_auxetic,aniso_shr,nu,-0.3,-0.290,0.3,0.301
square_auxetic,aniso_shr,nu,-0.3,-0.291,0.3,0.301
triangle_auxetic,aniso_shr,nu,-0.3,-0.280,0.3,0.301
ring_auxetic,aniso_shr,nu,-0.3,-0.294,0.3,0.302
normal_in_auxetic,aniso_shr,nu,0.3,0.304,-0.3,-0.296
stiffE_in_soft,aniso_shr,E,1.6,1.603,0.7,0.700
softE_in_stiff,aniso_shr,E,0.6,0.600,1.4,1.400
decoupled,aniso_shr,E&nu,-0.3,-0.294,1.8,1.801
disc_auxetic,disorder_lo,nu,-0.3,-0.296,0.3,0.300
square_auxetic,disorder_lo,nu,-0.3,-0.297,0.3,0.300
triangle_auxetic,disorder_lo,nu,-0.3,-0.296,0.3,0.300
ring_auxetic,disorder_lo,nu,-0.3,-0.297,0.3,0.300
normal_in_auxetic,disorder_lo,nu,0.3,0.301,-0.3,-0.295
stiffE_in_soft,disorder_lo,E,1.6,1.601,0.7,0.699
softE_in_stiff,disorder_lo,E,0.6,0.600,1.4,1.397
decoupled,disorder_lo,E&nu,-0.3,-0.299,1.8,1.801
disc_auxetic,disorder_hi,nu,-0.3,-0.297,0.3,0.301
square_auxetic,disorder_hi,nu,-0.3,-0.296,0.3,0.301
triangle_auxetic,disorder_hi,nu,-0.3,-0.296,0.3,0.301
ring_auxetic,disorder_hi,nu,-0.3,-0.298,0.3,0.301
normal_in_auxetic,disorder_hi,nu,0.3,0.302,-0.3,-0.296
stiffE_in_soft,disorder_hi,E,1.6,1.603,0.7,0.699
softE_in_stiff,disorder_hi,E,0.6,0.600,1.4,1.398
decoupled,disorder_hi,E&nu,-0.3,-0.298,1.8,1.801
