topology,half_size,target_nu,solver_nu,sim_nu,sim_E,stable
regular,8,0.3,0.3003,0.3003,1.1192,True
regular,8,0.15,0.1502,0.1514,0.6410,True
regular,8,0.0,0.0001,0.0038,0.2892,True
regular,8,-0.15,-0.1047,-0.1477,0.0323,True
regular,8,-0.3,-0.2302,-0.2136,0.0430,True
regular,8,-0.45,-0.1196,-0.1611,0.0372,True
regular,8,-0.6,-0.0704,-0.1076,0.0269,True
regular,12,0.3,0.3003,0.3003,1.1193,True
regular,12,0.15,0.1501,0.1520,0.7237,True
regular,12,0.0,0.0001,0.0043,0.3096,True
regular,12,-0.15,-0.1497,-0.1470,0.1828,True
regular,12,-0.3,-0.3001,-0.2921,0.1626,True
regular,12,-0.45,-0.4498,-0.3262,0.0167,False
regular,12,-0.6,-0.5988,-0.0119,0.0369,False
aniso_str,8,0.3,0.2999,0.2996,0.3927,True
aniso_str,8,0.15,0.1504,0.1507,0.3323,True
aniso_str,8,0.0,0.0008,0.0018,0.0838,True
aniso_str,8,-0.15,-0.1499,-0.1365,0.0100,True
aniso_str,8,-0.3,-0.2999,-0.0603,0.0104,False
aniso_str,8,-0.45,-0.4495,0.0174,0.0029,False
aniso_str,8,-0.6,-0.5166,0.0653,0.0868,False
aniso_str,12,0.3,0.2999,0.2995,0.3887,True
aniso_str,12,0.15,0.1501,0.1506,0.3175,True
aniso_str,12,0.0,0.0003,0.0015,0.0925,True
aniso_str,12,-0.15,-0.1497,-0.1405,0.0065,True
aniso_str,12,-0.3,-0.2992,-0.0865,0.0243,False
aniso_str,12,-0.45,-0.4545,0.0073,0.0083,False
aniso_str,12,-0.6,-0.5931,0.0413,0.1909,False
aniso_shr,8,0.3,0.2996,0.2996,1.2006,True
aniso_shr,8,0.15,0.1501,0.1503,0.7631,True
aniso_shr,8,0.0,0.0001,0.0006,0.4968,True
aniso_shr,8,-0.15,-0.1496,-0.1495,0.2517,True
aniso_shr,8,-0.3,-0.3000,-0.2986,0.1348,True
aniso_shr,8,-0.45,-0.4505,-0.4484,0.1012,True
aniso_shr,8,-0.6,-0.5934,-0.5906,0.0061,True
aniso_shr,12,0.3,0.2999,0.3004,1.1355,True
aniso_shr,12,0.15,0.1499,0.1503,0.8983,True
aniso_shr,12,0.0,0.0001,0.0007,0.5249,True
aniso_shr,12,-0.15,-0.1500,-0.1492,0.3763,True
aniso_shr,12,-0.3,-0.2996,-0.2991,0.1641,True
aniso_shr,12,-0.45,-0.4492,-0.4391,0.1770,True
aniso_shr,12,-0.6,-0.6003,-0.5851,0.1098,True
disorder_lo,8,0.3,0.3000,0.3001,1.0980,True
disorder_lo,8,0.15,0.1502,0.1513,0.7981,True
disorder_lo,8,0.0,0.0004,0.0025,0.5379,True
disorder_lo,8,-0.15,-0.1512,-0.1491,0.3527,True
disorder_lo,8,-0.3,-0.2505,-0.2369,0.0601,True
disorder_lo,8,-0.45,-0.1632,-0.1589,0.1479,True
disorder_lo,8,-0.6,-0.1619,-0.1590,0.1348,True
disorder_lo,12,0.3,0.2999,0.3001,1.0883,True
disorder_lo,12,0.15,0.1503,0.1510,0.8317,True
disorder_lo,12,0.0,0.0003,0.0022,0.5169,True
disorder_lo,12,-0.15,-0.1500,-0.1473,0.3576,True
disorder_lo,12,-0.3,-0.2998,-0.2966,0.1894,True
disorder_lo,12,-0.45,-0.4501,-0.4467,0.0580,True
disorder_lo,12,-0.6,-0.5994,-0.4437,0.0280,False
disorder_hi,8,0.3,0.2998,0.3001,1.0600,True
disorder_hi,8,0.15,0.1502,0.1509,0.9415,True
disorder_hi,8,0.0,0.0002,0.0015,0.7477,True
disorder_hi,8,-0.15,-0.1503,-0.1485,0.6286,True
disorder_hi,8,-0.3,-0.2854,-0.2837,0.2989,True
disorder_hi,8,-0.45,-0.2432,-0.2417,0.3704,True
disorder_hi,8,-0.6,-0.2755,-0.2738,0.3047,True
disorder_hi,12,0.3,0.2998,0.3001,1.0682,True
disorder_hi,12,0.15,0.1502,0.1509,0.8683,True
disorder_hi,12,0.0,-0.0000,0.0012,0.7260,True
disorder_hi,12,-0.15,-0.1498,-0.1485,0.5921,True
disorder_hi,12,-0.3,-0.3000,-0.2981,0.4860,True
disorder_hi,12,-0.45,-0.4499,-0.4479,0.3230,True
disorder_hi,12,-0.6,-0.6002,-0.5988,0.2471,True
