i,utc,threads,verdict,secs,detail
1,2026-08-22T20:50:02+00:00,1,FAIL,2118.7,FAIL test_local_region: local nu achieved -0.128 vs -0.15
2,2026-08-22T21:18:39+00:00,0,PASS,1717.2,"[15] homogenisation: regular nu=0.3333/E=1.1547; worst virial-vs-energy(ν,E)=1.1e-13, solver-vs-physical(tensor)=1.6e-12  OK"
3,2026-08-22T21:52:14+00:00,1,FAIL,2014.8,FAIL test_local_region: local nu achieved -0.128 vs -0.15
4,2026-08-22T22:19:57+00:00,0,PASS,1663.3,"[15] homogenisation: regular nu=0.3333/E=1.1547; worst virial-vs-energy(ν,E)=1.1e-13, solver-vs-physical(tensor)=1.6e-12  OK"
5,2026-08-22T22:44:15+00:00,1,FAIL,1458.1,FAIL test_local_region: local nu achieved -0.128 vs -0.15
6,2026-08-22T23:12:12+00:00,0,PASS,1677.3,"[15] homogenisation: regular nu=0.3333/E=1.1547; worst virial-vs-energy(ν,E)=1.1e-13, solver-vs-physical(tensor)=1.6e-12  OK"
7,2026-08-22T23:51:03+00:00,1,FAIL,2330.3,FAIL test_local_region: local nu achieved -0.128 vs -0.15
8,2026-08-23T00:16:44+00:00,0,PASS,1541.7,"[15] homogenisation: regular nu=0.3333/E=1.1547; worst virial-vs-energy(ν,E)=1.1e-13, solver-vs-physical(tensor)=1.6e-12  OK"
9,2026-08-23T00:49:54+00:00,1,FAIL,1989.2,FAIL test_local_region: local nu achieved -0.128 vs -0.15
10,2026-08-23T01:15:21+00:00,0,PASS,1527.3,"[15] homogenisation: regular nu=0.3333/E=1.1547; worst virial-vs-energy(ν,E)=1.1e-13, solver-vs-physical(tensor)=1.6e-12  OK"
11,2026-08-23T01:42:21+00:00,1,FAIL,1619.9,FAIL test_local_region: local nu achieved -0.128 vs -0.15
12,2026-08-23T02:09:47+00:00,0,PASS,1646.0,"[15] homogenisation: regular nu=0.3333/E=1.1547; worst virial-vs-energy(ν,E)=1.1e-13, solver-vs-physical(tensor)=1.6e-12  OK"
13,2026-08-23T02:40:08+00:00,1,FAIL,1821.5,FAIL test_local_region: local nu achieved -0.128 vs -0.15
14,2026-08-23T03:08:34+00:00,0,PASS_DRIFT,1705.4,"[15] homogenisation: regular nu=0.3333/E=1.1547; worst virial-vs-energy(ν,E)=1.1e-13, solver-vs-physical(tensor)=8.0e-03  OK"
15,2026-08-23T03:37:31+00:00,1,FAIL,1737.5,FAIL test_local_region: local nu achieved -0.128 vs -0.15
16,2026-08-23T04:03:20+00:00,0,PASS,1548.9,"[15] homogenisation: regular nu=0.3333/E=1.1547; worst virial-vs-energy(ν,E)=1.1e-13, solver-vs-physical(tensor)=1.6e-12  OK"
17,2026-08-23T04:35:53+00:00,1,FAIL,1952.8,FAIL test_local_region: local nu achieved -0.128 vs -0.15
18,2026-08-23T05:02:33+00:00,0,FAIL,1599.8,"FAIL test_homogenization: solver vs physical homogenisation tensor disagree (phi=1.0,psi=1.0,eta=0.0): 1.18e-02"
19,2026-08-23T05:35:02+00:00,1,FAIL,1948.8,FAIL test_local_region: local nu achieved -0.128 vs -0.15
20,2026-08-23T06:01:36+00:00,0,PASS,1594.7,"[15] homogenisation: regular nu=0.3333/E=1.1547; worst virial-vs-energy(ν,E)=1.1e-13, solver-vs-physical(tensor)=1.6e-12  OK"
21,2026-08-23T06:33:45+00:00,1,FAIL,1928.5,FAIL test_local_region: local nu achieved -0.128 vs -0.15
