i,after,rep,vs,ratio_to_baseline,secs
1,<none: fresh process>,0,2.204663e-13,0.138,0.24
2,<none: fresh process>,1,2.204663e-13,0.138,0.27
3,<none: fresh process>,2,2.204663e-13,0.138,0.31
4,<none: fresh process>,3,2.204663e-13,0.138,0.36
5,<none: fresh process>,4,2.204663e-13,0.138,0.30
6,<none: fresh process>,5,2.204663e-13,0.138,0.29
7,<none: fresh process>,6,2.204663e-13,0.138,0.42
8,<none: fresh process>,7,2.204663e-13,0.138,0.41
9,<none: fresh process>,8,2.204663e-13,0.138,0.49
10,<none: fresh process>,9,2.204663e-13,0.138,0.38
11,<none: fresh process>,10,2.204663e-13,0.138,0.35
12,<none: fresh process>,11,2.204663e-13,0.138,0.37
13,<none: fresh process>,12,2.204663e-13,0.138,0.35
14,<none: fresh process>,13,2.204663e-13,0.138,0.32
15,<none: fresh process>,14,2.204663e-13,0.138,0.36
16,<none: fresh process>,15,2.204663e-13,0.138,0.31
17,<none: fresh process>,16,2.204663e-13,0.138,0.32
18,<none: fresh process>,17,2.204663e-13,0.138,0.32
19,<none: fresh process>,18,2.204663e-13,0.138,0.33
20,<none: fresh process>,19,2.204663e-13,0.138,0.29
21,<none: fresh process>,20,2.204663e-13,0.138,0.31
22,<none: fresh process>,21,2.204663e-13,0.138,0.32
23,<none: fresh process>,22,2.204663e-13,0.138,0.35
24,<none: fresh process>,23,2.204663e-13,0.138,0.30
25,<none: fresh process>,24,2.204663e-13,0.138,0.31
26,<none: fresh process>,25,2.204663e-13,0.138,0.29
27,<none: fresh process>,26,2.204663e-13,0.138,0.31
28,<none: fresh process>,27,2.204663e-13,0.138,0.29
29,<none: fresh process>,28,2.204663e-13,0.138,0.38
30,<none: fresh process>,29,2.204663e-13,0.138,0.43
31,<none: fresh process>,30,2.204663e-13,0.138,0.36
32,<none: fresh process>,31,2.204663e-13,0.138,0.39
33,<none: fresh process>,32,2.204663e-13,0.138,0.36
34,<none: fresh process>,33,2.204663e-13,0.138,0.31
35,<none: fresh process>,34,2.204663e-13,0.138,0.29
36,<none: fresh process>,35,2.204663e-13,0.138,0.39
37,<none: fresh process>,36,2.204663e-13,0.138,0.39
38,<none: fresh process>,37,2.204663e-13,0.138,0.38
39,<none: fresh process>,38,2.204663e-13,0.138,0.37
40,<none: fresh process>,39,2.204663e-13,0.138,0.35
41,<none: fresh process>,40,2.204663e-13,0.138,0.38
42,<none: fresh process>,41,2.204663e-13,0.138,0.35
43,<none: fresh process>,42,2.204663e-13,0.138,0.33
44,<none: fresh process>,43,2.204663e-13,0.138,0.31
45,<none: fresh process>,44,2.204663e-13,0.138,0.33
46,<none: fresh process>,45,2.204663e-13,0.138,0.32
47,<none: fresh process>,46,2.204663e-13,0.138,0.32
48,<none: fresh process>,47,2.204663e-13,0.138,0.32
49,<none: fresh process>,48,2.204663e-13,0.138,0.32
50,<none: fresh process>,49,2.204663e-13,0.138,0.31
51,test_round_trip,0,2.204663e-13,0.138,0.43
52,test_round_trip,1,2.204663e-13,0.138,0.35
53,test_round_trip,2,2.204663e-13,0.138,0.36
54,test_round_trip,3,2.204663e-13,0.138,0.31
55,test_round_trip,4,2.204663e-13,0.138,0.31
56,test_round_trip,5,2.204663e-13,0.138,0.33
57,test_round_trip,6,2.204663e-13,0.138,0.40
58,test_round_trip,7,2.204663e-13,0.138,0.35
59,test_round_trip,8,2.204663e-13,0.138,0.30
60,test_round_trip,9,2.204663e-13,0.138,0.31
61,test_round_trip,10,2.204663e-13,0.138,0.29
62,test_round_trip,11,2.204663e-13,0.138,0.30
63,test_round_trip,12,2.204663e-13,0.138,0.29
64,test_round_trip,13,2.204663e-13,0.138,0.31
65,test_round_trip,14,2.204663e-13,0.138,0.33
66,test_round_trip,15,2.204663e-13,0.138,0.32
67,test_round_trip,16,2.204663e-13,0.138,0.71
68,test_round_trip,17,2.204663e-13,0.138,0.46
69,test_round_trip,18,2.204663e-13,0.138,0.38
70,test_round_trip,19,2.204663e-13,0.138,0.32
71,test_round_trip,20,2.204663e-13,0.138,0.30
72,test_round_trip,21,2.204663e-13,0.138,0.31
73,test_round_trip,22,2.204663e-13,0.138,0.29
74,test_round_trip,23,2.204663e-13,0.138,0.31
75,test_round_trip,24,2.204663e-13,0.138,0.30
76,test_round_trip,25,2.204663e-13,0.138,0.29
77,test_round_trip,26,2.204663e-13,0.138,0.37
78,test_round_trip,27,2.204663e-13,0.138,0.36
79,test_round_trip,28,2.204663e-13,0.138,0.34
80,test_round_trip,29,2.204663e-13,0.138,0.34
81,test_round_trip,30,2.204663e-13,0.138,0.36
82,test_round_trip,31,2.204663e-13,0.138,0.36
83,test_round_trip,32,2.204663e-13,0.138,0.38
84,test_round_trip,33,2.204663e-13,0.138,0.33
85,test_round_trip,34,2.204663e-13,0.138,0.37
86,test_round_trip,35,2.204663e-13,0.138,0.31
87,test_round_trip,36,2.204663e-13,0.138,0.30
