family,topology,amplitude_A,target_nu0,achieved_nu0,maxerr
full_cos2theta,ordered,0.6,-0.8999999999999999,-0.896420675062762,0.3012300227422665
full_cos2theta,ordered,0.9,-1.2,-1.1989876917079545,0.6006761663657385
full_cos2theta,ordered,1.2,-1.5,-1.494704441118831,0.9009554373267414
full_cos2theta,ordered,1.5,-1.8,-1.7877822672402022,1.203284014008386
full_cos2theta,ordered,1.8,-2.1,-2.0801951890501464,1.5010501519957593
narrow_window,ordered,nan,-0.8,-0.8002003797808194,0.0014306867685941471
narrow_window,ordered,nan,-1.0,-0.9994909801134475,0.0019488323946312835
narrow_window,ordered,nan,-1.3,-1.3000096040652684,0.0029457946997097917
narrow_window,ordered,nan,-1.6,-1.5964283879173053,0.003999404551559005
narrow_window,ordered,nan,-1.9,-1.8880109562126866,0.011989043787313358
full_cos2theta,disordered,0.6,-0.8999999999999999,-0.8628728033098961,0.3478353712784018
full_cos2theta,disordered,0.9,-1.2,-1.1237354004893225,0.6563043005482943
full_cos2theta,disordered,1.2,-1.5,-1.3988583738819897,0.9522705197144442
full_cos2theta,disordered,1.5,-1.8,-1.6506745096293838,1.2542710791057416
full_cos2theta,disordered,1.8,-2.1,-1.9511417148530295,1.543103414429892
narrow_window,disordered,nan,-0.8,-0.8002209108616147,0.0002209108616146871
narrow_window,disordered,nan,-1.0,-1.0002402732655267,0.00024027326552666928
narrow_window,disordered,nan,-1.3,-1.2985425824304204,0.0015007751796867197
narrow_window,disordered,nan,-1.6,-1.6005009856514003,0.0017082070581577735
narrow_window,disordered,nan,-1.9,-1.8988787427809073,0.0043495146102425775
