topology,half_size,strip,target_nu,solver_nu,sim_nu
regular,8,0,0.300,0.2160,0.2216
regular,8,1,0.180,0.0473,0.0954
regular,8,2,0.060,0.1049,0.0575
regular,8,3,-0.060,0.3381,0.0955
regular,8,4,-0.180,0.1704,-0.0313
regular,8,5,-0.300,-0.2612,-0.0946
regular,12,0,0.300,0.2999,0.3018
regular,12,1,0.180,0.1788,0.1797
regular,12,2,0.060,0.0614,0.0644
regular,12,3,-0.060,-0.0590,-0.0557
regular,12,4,-0.180,-0.1804,-0.1789
regular,12,5,-0.300,-0.2997,-0.2973
aniso_str,8,0,0.300,0.2951,0.3085
aniso_str,8,1,0.180,0.1413,0.1539
aniso_str,8,2,0.060,0.0193,0.0214
aniso_str,8,3,-0.060,-0.0165,-0.0121
aniso_str,8,4,-0.180,-0.1531,-0.1505
aniso_str,8,5,-0.300,-0.1165,-0.1137
aniso_str,12,0,0.300,0.2659,0.2685
aniso_str,12,1,0.180,0.1430,0.1429
aniso_str,12,2,0.060,0.0179,0.0253
aniso_str,12,3,-0.060,-0.0167,-0.0043
aniso_str,12,4,-0.180,-0.1330,-0.1223
aniso_str,12,5,-0.300,-0.1308,-0.1176
aniso_shr,8,0,0.300,0.3002,0.3013
aniso_shr,8,1,0.180,0.1804,0.1823
aniso_shr,8,2,0.060,0.0597,0.0617
aniso_shr,8,3,-0.060,-0.0604,-0.0585
aniso_shr,8,4,-0.180,-0.1797,-0.1752
aniso_shr,8,5,-0.300,-0.2994,-0.2946
aniso_shr,12,0,0.300,0.3005,0.3029
aniso_shr,12,1,0.180,0.1809,0.1826
aniso_shr,12,2,0.060,0.0610,0.0635
aniso_shr,12,3,-0.060,-0.0600,-0.0568
aniso_shr,12,4,-0.180,-0.1797,-0.1723
aniso_shr,12,5,-0.300,-0.2996,-0.2895
disorder_lo,8,0,0.300,0.2816,0.2835
disorder_lo,8,1,0.180,0.1705,0.1722
disorder_lo,8,2,0.060,0.0606,0.0615
disorder_lo,8,3,-0.060,-0.0478,-0.0459
disorder_lo,8,4,-0.180,-0.1575,-0.1565
disorder_lo,8,5,-0.300,-0.2393,-0.2379
disorder_lo,12,0,0.300,0.3006,0.3034
disorder_lo,12,1,0.180,0.1807,0.1814
disorder_lo,12,2,0.060,0.0604,0.0618
disorder_lo,12,3,-0.060,-0.0591,-0.0563
disorder_lo,12,4,-0.180,-0.1789,-0.1762
disorder_lo,12,5,-0.300,-0.2984,-0.2957
disorder_hi,8,0,0.300,0.2330,0.2338
disorder_hi,8,1,0.180,0.1373,0.1380
disorder_hi,8,2,0.060,0.0801,0.0810
disorder_hi,8,3,-0.060,-0.0132,-0.0122
disorder_hi,8,4,-0.180,-0.1273,-0.1255
disorder_hi,8,5,-0.300,-0.2242,-0.2216
disorder_hi,12,0,0.300,0.3000,0.3021
disorder_hi,12,1,0.180,0.1801,0.1813
disorder_hi,12,2,0.060,0.0614,0.0633
disorder_hi,12,3,-0.060,-0.0601,-0.0592
disorder_hi,12,4,-0.180,-0.1792,-0.1771
disorder_hi,12,5,-0.300,-0.2992,-0.2966
