tag,ring,target_xx,target_xy,target_yy,achieved_diffpath_xx,achieved_diffpath_xy,achieved_diffpath_yy,achieved_independent_xx,achieved_independent_xy,achieved_independent_yy,err_diffpath,err_independent
regular_regular,center,0.35,0.0,0.35,0.30191168829263115,0.012381597600299185,0.27028327312376976,0.6503593765797271,0.035701256276693155,0.5932090744510278,0.0797,0.3004
regular_regular,ring1,-0.35,0.0,-0.35,0.05901151934356667,0.03430094901609165,0.03520139310558379,0.6949429818860514,-0.05937938682606621,0.727301376548627,0.4090,1.0773
regular_regular,ring2,0.35,0.0,0.35,0.34872238542972256,-0.0012719047932860435,0.351306902659066,0.40437536075109254,-0.00256176956178249,0.39760439811293236,0.0013,0.0544
regular_large,center,1.0,0.0,1.0,0.6698179541661082,0.15696872117793195,0.6952401886606839,0.8128794238290651,0.19069959219207866,0.7977183574374044,0.3302,0.2023
regular_large,ring1,-1.0,0.0,-1.0,0.21138483686036655,0.07473089848935875,0.10000642158664168,0.30616170573890233,0.07829481044542308,0.20342677568642561,1.2114,1.3062
regular_large,ring2,1.0,0.0,1.0,1.0115934079703885,0.011407880782167128,1.0018047719166634,1.1036169642154463,0.03333368406492655,1.1441411627650413,0.0116,0.1441
disorder_hi_regular,center,0.35,0.0,0.35,0.2726264206544516,0.022771011082935538,0.3080690040046851,0.2944918977211503,0.03129754255755417,0.3165393026965065,0.0774,0.0555
disorder_hi_regular,ring1,-0.35,0.0,-0.35,-0.008333733863521977,0.04796402373764725,0.04217144820518207,0.14830968538324357,0.21061366431234588,0.3782242060749633,0.3922,0.7282
disorder_hi_regular,ring2,0.35,0.0,0.35,0.37394335157416064,-0.00980825892494514,0.3542688088687774,0.9869795862221501,0.28167294121087505,0.8247102102409973,0.0239,0.6370
disorder_hi_large,center,1.0,0.0,1.0,0.7740175264158915,-0.14638220767950338,0.7392878428068675,2.4290840456024227,0.37090674163093784,1.546003438803955,0.2607,1.4291
disorder_hi_large,ring1,-1.0,0.0,-1.0,0.14064986092926107,0.01966830873238875,0.13079183937368116,38.00146929021916,59.372973601349955,197.72406589632308,1.1406,198.7241
disorder_hi_large,ring2,1.0,0.0,1.0,1.0205119584857343,-0.017610652606878566,0.972925462569095,24.009617171861983,-8.297790138035554,4.342186767326983,0.0271,23.0096
