# commit=a031675 dirty=True saved_utc=2026-08-21T19:39:23+00:00
n_tri,rcond_min,rcond_p05,frac_rcond_lt_1e3,frac_rcond_lt_1e4,quality_min,quality_p05,area_min_over_mean,k_min_over_mean,frac_k_lt_1e3,run_id,topo,band,band_f,nu_target,nu_achieved,gap,dnu_bulk,dnu_worst
96,0.0006290814514787377,0.0011458104225773313,0.03125,0.0,0.6471102286490263,0.7612448169808105,0.06970865087535048,0.004712477273065599,0.0,0,foam,soft,0.0,-0.9,-0.7770392766401192,3.72003579001378e-12,9.559020242022598e-14,nan
120,0.030948402665177753,0.03965775022847211,0.0,0.0,0.8964441162618608,0.919773973262511,0.7760148062771418,0.16210230093976472,0.0,1,bravais,large,0.1,-0.9,-0.023007902523756483,7.270238291122372e-13,6.765421556309548e-15,nan
128,0.00010721561254908908,0.003911146210090164,0.0234375,0.0,0.07687668688072265,0.309144844830017,0.023348569432531312,0.6419291271373204,0.0,2,foam,medium,0.5,-0.9,0.08548786509476225,3.344893209758043e-11,6.695061172123928e-13,nan
72,0.00395924601405561,0.011674082435806133,0.0,0.0,0.420104941902435,0.529888690668549,0.7287886253832936,0.9431634950446047,0.0,3,flipped,small,0.9,-0.9,0.20703733633444776,0.08140860804258924,0.007568985406610301,nan
108,1.3901786099418884e-05,0.018760681313863478,0.027777777777777776,0.009259259259259259,0.10341680564804724,0.552277094381968,0.19725559205125165,0.9947596649778744,0.0,4,flipped,none,0.99,-0.9,0.220926681126942,0.07622422983257804,0.010302355759029214,nan
136,1.6074252536367108e-07,7.110652401904126e-05,0.16911764705882354,0.07352941176470588,0.013878586747254493,0.18836751508175587,0.001151348943443716,0.00899140030174443,0.0,5,foam,soft,0.0,-0.7,-0.6963669975123612,0.001681805301259811,3.324414006533605e-05,nan
114,0.008050674106365382,0.024347133611392513,0.0,0.0,0.6344450851879613,0.830809455998459,0.19759246092364838,0.15395498851606362,0.0,6,foam,large,0.1,-0.7,0.01949931660533107,4.833855061227606e-12,6.769237947956697e-14,nan
60,0.17114643107769173,0.1783593320721236,0.0,0.0,0.9345698045468208,0.9439459938104244,0.858512418491911,0.6813126597176722,0.0,7,bravais,medium,0.5,-0.7,0.2746611274553681,2.134240782963539e-13,2.2426505097428162e-14,nan
134,1.1183493436907458e-05,0.002743808562629366,0.014925373134328358,0.007462686567164179,0.09714899537869018,0.2682384882449702,0.003756266600293893,0.9439381073818288,0.0,8,foam,small,0.9,-0.7,0.18060300035026497,0.02680703005344871,0.0006624213054682859,nan
90,0.01990804915887095,0.07228609927877742,0.0,0.0,0.59087521708577,0.7705384311602628,0.6313710910920763,0.994995448133566,0.0,9,foam,none,0.99,-0.7,0.2754637737983832,2.303432425688759e-13,0.0007813570408740644,nan
110,0.0007952105023757213,0.0014364596746822727,0.02727272727272727,0.0,0.3127916679798165,0.43746099053881776,0.05713123396860809,0.012409094993857603,0.0,10,foam,soft,0.0,-0.5,-0.5053003319287698,0.10717865642013231,0.005223396418836068,nan
60,0.005126446546268915,0.012374665470415332,0.0,0.0,0.6268106975825566,0.728784962051947,0.3833975945774113,0.16228812877857485,0.0,11,bravais,large,0.1,-0.5,-0.1618033657847877,3.558127671533487e-12,6.039613253960852e-14,nan
120,0.011027701921089345,0.02821009154962691,0.0,0.0,0.4627971681229042,0.6178400842488644,0.3163303631527661,0.6396161835596252,0.0,12,bravais,medium,0.5,-0.5,0.18999200604665173,2.7535677849516826e-12,6.139533326177116e-14,nan
72,0.04880415561637076,0.07881919803846793,0.0,0.0,0.7043509195223382,0.7529164138563512,0.3620977214195334,0.9455974474048052,0.0,13,bravais,small,0.9,-0.5,0.24557519006098452,0.0030759997702643855,0.00032022634088407775,nan
90,2.476732197525404e-07,0.0016301090327924118,0.044444444444444446,0.03333333333333333,0.013981458239104232,0.2028929035015093,0.017052329177280827,0.9951097801742277,0.0,14,foam,none,0.99,-0.5,0.2468259928932981,0.07879898675010709,0.012479139349863638,nan
110,1.3280876680069727e-05,0.0023375842246713212,0.03636363636363636,0.00909090909090909,0.10911294591172854,0.5241561090237161,0.26318835271449664,0.02414044272741823,0.0,15,flipped,soft,0.0,-0.3,-0.2999775302448352,6.471112134458881e-12,4.851674617611934e-13,nan
88,0.013698258703617792,0.03190674995864741,0.0,0.0,0.7463433716298928,0.8391673747195817,0.4241814456694067,0.16381360889734725,0.0,16,foam,large,0.1,-0.3,-0.004176699665974504,1.5838234362921006e-12,1.0304257447302234e-15,nan
64,0.05175863958494686,0.06678158848637905,0.0,0.0,0.7571403595966532,0.780854505880198,0.5607074614378675,0.6595185607729798,0.0,17,auxetic,medium,0.5,-0.3,0.12652830247754562,4.606579133048088e-13,1.4238610290817633e-14,nan
106,0.00020454675851917822,0.007141951262967875,0.009433962264150943,0.0,0.2053199528716509,0.4696650186812554,0.48270366504396733,0.9403797503507076,0.0,18,flipped,small,0.9,-0.3,0.20569830779130904,1.5668500823540173e-12,1.2781442570997115e-13,nan
122,2.983040114861537e-10,0.0011011685169261853,0.04918032786885246,0.02459016393442623,0.002991418694660681,0.1575927655817024,0.001881078517674794,0.9948158577116897,0.0,19,foam,none,0.99,-0.3,0.22302223988355568,0.05902267038717523,0.009545905217002909,nan
132,0.006558924252137347,0.011127671240157634,0.0,0.0,0.6839151343661651,0.815008109165607,0.27240224482607694,0.02919952412521439,0.0,20,foam,soft,0.0,-0.15,-0.1499799601109939,3.045728468623153e-12,2.600697435184429e-13,nan
138,0.0075469983730377275,0.02133067361373129,0.0,0.0,0.6419640221327045,0.7788245643412194,0.1786804462787619,0.15850699023671805,0.0,21,foam,large,0.1,-0.15,0.026729310224687712,5.1841021941118075e-12,3.1079305795600476e-14,nan
72,0.005661742915955167,0.009699294077765847,0.0,0.0,0.4739408093511795,0.5346240046319012,0.8119768303975512,0.6275477108017153,0.0,22,flipped,medium,0.5,-0.15,0.13177630390935952,0.02559969849932689,0.0009262751349334575,nan
108,0.0005514846043467211,0.003561937572098608,0.009259259259259259,0.0,0.26179502288830225,0.3989768007807907,0.3290349464967677,0.947448290432933,0.0,23,flipped,small,0.9,-0.15,0.23201632492961088,1.1754054329557598e-12,8.168465903679589e-14,nan
144,0.010788089499040214,0.045400612527494985,0.0,0.0,0.5210119564566172,0.7025267489621221,0.5757653149442344,0.9947120042418713,0.0,24,foam,none,0.99,-0.15,0.2779863704964157,3.3274983671352595e-13,2.808864252301646e-14,nan
134,0.012661487135923978,0.03111491313627067,0.0,0.0,0.6671887511268176,0.7974356340864792,0.6562456846374323,0.11631121511086014,0.0,25,foam,soft,0.0,0.0,9.825874998905975e-05,1.2744031353097347e-12,5.467618003317243e-15,nan
60,0.03989039066862582,0.045817332220878505,0.0,0.0,0.9403034968229734,0.9526494683006924,0.8641955066671863,0.17394176214450482,0.0,26,bravais,large,0.1,0.0,0.01513890209935145,6.811939856982092e-13,1.5258627694691995e-14,nan
120,0.0019856551403386125,0.04541596737875112,0.0,0.0,0.3831509224037064,0.7061398645899974,0.2911422423415073,0.6447334848092638,0.0,27,bravais,medium,0.5,0.0,0.183784218310842,2.0777464165466924e-12,1.393885007416884e-13,nan
80,9.167228414171282e-06,0.00042748441542797197,0.0625,0.025,0.02179238359973825,0.148256989046417,0.004206601786905731,0.9429315341277713,0.0,28,foam,small,0.9,0.0,0.1915851450431279,0.06668867952371131,0.008125544352395736,nan
120,0.026595903010902058,0.09105441944083323,0.0,0.0,0.6143209196432675,0.7456290215713317,0.4135930939554187,0.9954124338005643,0.0,29,bravais,none,0.99,0.0,0.28114217195334906,7.718773888003142e-13,3.7470027081099033e-14,nan
102,0.0001324870711852725,0.003178410050738915,0.00980392156862745,0.0,0.14767602885972553,0.3019073359740576,0.019187396689372214,0.24876955729328679,0.0,30,foam,soft,0.0,0.1,0.09954202735656806,2.5750819763401345e-11,3.543415560969265e-13,nan
