name,class,n_nodes,n_bond,coord_signature,coord_hist
triangular,bravais,56,168,6:1.00,{6: 56}
honeycomb,basis,64,197,3:0.05|4:0.14|5:0.30|6:0.19|7:0.08|8:0.11|9:0.05|10:0.06|12:0.03,"{3: 3, 4: 9, 5: 19, 6: 12, 7: 5, 8: 7, 9: 3, 10: 4, 12: 2}"
kagome,basis,54,162,4:0.13|5:0.30|6:0.31|7:0.11|8:0.07|10:0.07,"{4: 7, 5: 16, 6: 17, 7: 6, 8: 4, 10: 4}"
square_octagon,tiling,36,114,3:0.08|4:0.17|5:0.19|6:0.22|7:0.08|8:0.06|9:0.08|10:0.03|12:0.06|14:0.03,"{3: 3, 4: 6, 5: 7, 6: 8, 7: 3, 8: 2, 9: 3, 10: 1, 12: 2, 14: 1}"
tetrakis,basis,72,216,4:0.50|8:0.50,"{4: 36, 8: 36}"
rotating_squares,auxetic,32,101,5:0.22|6:0.25|7:0.53,"{5: 7, 6: 8, 7: 17}"
reentrant_honeycomb,auxetic,64,194,4:0.11|5:0.22|6:0.33|7:0.19|8:0.16,"{4: 7, 5: 14, 6: 21, 7: 12, 8: 10}"
foam_poisson,foam,54,162,5:0.31|6:0.41|7:0.24|8:0.04,"{5: 17, 6: 22, 7: 13, 8: 2}"
flipped_tri_f8,flipped,56,168,4:0.02|5:0.18|6:0.62|7:0.14|8:0.04,"{4: 1, 5: 10, 6: 35, 7: 8, 8: 2}"
flipped_tri_f14,flipped,56,168,4:0.07|5:0.23|6:0.38|7:0.27|8:0.05,"{4: 4, 5: 13, 6: 21, 7: 15, 8: 3}"
