# commit=e41353a dirty=True saved_utc=2026-08-21T09:57:12+00:00 seeds=[0, 1, 2]
start,nu_target,seed,a,nu_sim,nu_solver,gap,trustworthy
jitter_0.10,-0.1,0,0.15,0.1407552864299319,0.12491812579313523,0.1533712847438998,0
jitter_0.10,-0.1,0,0.25,-0.05996422268960233,-0.09974829001751163,0.4755455299359502,0
jitter_0.10,-0.1,1,0.15,0.05834465787738794,0.059937215367455485,0.031156028655181196,1
jitter_0.10,-0.1,1,0.25,-0.07857882048493048,-0.10031341022166404,0.2782859751928749,0
jitter_0.10,-0.1,2,0.15,0.025443431127304964,0.02267674602403773,0.09945211457453076,0
jitter_0.10,-0.1,2,0.25,-0.050768482916135664,-0.09800944949783609,0.604244017281642,0
jitter_0.10,-0.3,0,0.15,0.1407552864299319,0.12491812579313523,0.1533712847438998,0
jitter_0.10,-0.3,0,0.25,-0.13409581847486066,-0.1755842567371329,0.2621913593955901,0
jitter_0.10,-0.3,1,0.15,0.05834465787738794,0.059937215367455485,0.031156028655181196,1
jitter_0.10,-0.3,1,0.25,-0.1188267594357968,-0.15886304107755034,0.3713777460669445,0
jitter_0.10,-0.3,2,0.15,0.025443431127304964,0.02267674602403773,0.09945211457453076,0
jitter_0.10,-0.3,2,0.25,-0.12806061158031368,-0.21955453590950502,0.8151373753626796,0
jitter_0.30,-0.1,0,0.15,-0.005966306863013585,-0.07521747327005414,1.5887815328883141,0
jitter_0.30,-0.1,0,0.25,-0.08309936945666453,-0.09987351136158824,0.1781581310995457,0
jitter_0.30,-0.1,1,0.15,0.038195881028608776,-0.04308196769851837,1.1206340007452864,0
jitter_0.30,-0.1,1,0.25,-0.02123165547333234,-0.10153780464728428,1.311942503562864,0
jitter_0.30,-0.1,2,0.15,0.02652701849952861,0.0020107847350018106,0.399022987783599,0
jitter_0.30,-0.1,2,0.25,-0.05243705763317669,-0.07546095904160953,0.3558466319021328,0
jitter_0.30,-0.3,0,0.15,-0.010233399189710477,-0.07669217616695957,1.5329350361317693,0
jitter_0.30,-0.3,0,0.25,-0.05914083627218207,-0.1207727845914618,0.7393201442308808,0
jitter_0.30,-0.3,1,0.15,0.0011911620024572893,-0.08018587469237341,1.7963178183781907,0
jitter_0.30,-0.3,1,0.25,-0.12322844146441325,-0.20324928573534773,0.5682329248646958,0
jitter_0.30,-0.3,2,0.15,-0.02540472686812435,-0.05910993139465206,0.5232621935230578,0
jitter_0.30,-0.3,2,0.25,-0.06254185685216825,-0.11299164508586657,0.6827229393272836,0
eta_0.45,-0.1,0,0.15,-0.07889782740228744,-0.09619837241255819,0.19178385752233174,0
eta_0.45,-0.1,0,0.25,-0.07241920420654273,-0.10054974997335647,0.3588280557993764,0
eta_0.45,-0.1,1,0.15,-0.06019864019262335,-0.07128350391093397,0.17754376841114822,0
eta_0.45,-0.1,1,0.25,-0.0847833060931532,-0.1001545318757094,0.19596484869840736,0
eta_0.45,-0.1,2,0.15,-0.08717031101926682,-0.0982715101639137,0.23129973949027216,0
eta_0.45,-0.1,2,0.25,-0.09535551951412191,-0.10386438204689642,0.2381906660113835,0
eta_0.45,-0.3,0,0.15,-0.07254910956181682,-0.09938389942690827,0.2846274959797508,0
eta_0.45,-0.3,0,0.25,-0.2017988650302935,-0.299039359537929,0.5595451915508076,0
eta_0.45,-0.3,1,0.15,-0.06002440808784304,-0.0687613259819705,0.17177201823731572,0
eta_0.45,-0.3,1,0.25,-0.11610446857329698,-0.24922285885655782,1.0471480035934493,0
eta_0.45,-0.3,2,0.15,-0.09267420380528994,-0.10773917040587391,0.17704605711873883,0
eta_0.45,-0.3,2,0.25,-0.21974759486682238,-0.2665696274672666,0.26373430627937566,0
