run_id,topo_name,topo_class,n_nodes,n_bond,nu_target,band,band_f,nu_sim_initial,E_sim_initial,err_initial,nu_sim_konly,E_sim_konly,err_konly,nu_sim_full,E_sim_full,err_full,nu_solver_full,kmin_avg,solver_sim_gap,trustworthy,design_path,status,error
0,random_blue_noise_n48_s1041,foam,48,144,-0.9,soft,0.0,0.33636463615218226,1.204227694409146,1.2363646361521823,-0.7654940412300367,0.9999999999996513,0.1345059587699633,-0.7770392766401192,1.0000000000000526,0.12296072335988084,-0.7770392766400236,0.004712477273065599,3.72003579001378e-12,1,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1\design_g1_0.npz,ok,
1,bravais_phi0.8_psi0.8_eta0.0_s0,bravais,60,180,-0.9,large,0.1,0.3331877901677247,1.1584751940895368,1.2331877901677246,0.00991120214787348,0.9999999999999168,0.9099112021478735,-0.023007902523756483,0.9999999999999895,0.8769920974762435,-0.023007902523749717,0.16210230093976472,7.270238291122372e-13,1,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1\design_g1_1.npz,ok,
2,random_uniform_n64_s1030,foam,64,192,-0.9,medium,0.5,0.2520172211758738,1.035075872150946,1.152017221175874,0.12649029239903387,1.000000000005235,1.0264902923990338,0.08548786509497616,1.000000000008703,0.9854878650949762,0.08548786509431962,0.641929127140923,3.335853902865462e-11,1,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1\design_g1_2.npz,ok,
3,flipped_s307_f8,flipped,36,108,-0.9,small,0.9,0.2552308088149738,1.072019644912641,1.1552308088149739,0.23995621976748405,1.0067103012321097,1.139956219767484,0.20738030331919838,1.0131003640007912,1.1073803033191985,0.200222730412932,0.9428939967118765,0.07934219097282805,0,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1\design_g1_3.npz,ok,
4,flipped_s308_f8,flipped,54,162,-0.9,none,0.99,0.24083222028056434,1.0574189632994213,1.1408322202805643,0.23945326513330195,1.000000013944689,1.139453265133302,0.220926681126942,0.9994068809916007,1.120926681126942,0.21062432536791278,0.9947596649778744,0.07622422983257804,0,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1\design_g1_4.npz,ok,
5,random_graded_n68_s1035,foam,68,204,-0.7,soft,0.0,0.2784606621720881,1.0389868867483731,0.978460662172088,-0.683829629090697,1.0066697069768624,0.016170370909302956,-0.6963669975123612,1.0001256978825868,0.003633002487638759,-0.6963337533722959,0.00899140030174443,0.001681805301259811,1,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1\design_g1_5.npz,ok,
6,random_blue_noise_n57_s1029,foam,57,171,-0.7,large,0.1,0.33744292208228605,1.2022621332265115,1.037442922082286,0.0664736391189832,0.999999999999741,0.7664736391189831,0.01949931660531117,0.9999999999997916,0.7194993166053111,0.019499316605243615,0.1539549885160587,4.840578781904911e-12,1,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1\design_g1_6.npz,ok,
7,bravais_phi0.8_psi1.2_eta0.0_s0,bravais,30,90,-0.7,medium,0.5,0.32719668933666757,1.1467852758437616,1.0271966893366675,0.29899803479766374,0.9999999999999251,0.9989980347976637,0.2746611274553681,0.9999999999999513,0.974661127455368,0.2746611274553905,0.6813126597176722,2.135465365698661e-13,1,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1\design_g1_7.npz,ok,
8,random_uniform_n67_s1026,foam,67,201,-0.7,small,0.9,0.2398524678119723,1.0141555465020313,0.9398524678119723,0.22039179405101886,1.0114464100866707,0.9203917940510188,0.18060300035026497,1.0056694703903437,0.880603000350265,0.18126542165573326,0.9439381073818288,0.02680703005344871,1,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1\design_g1_8.npz,ok,
9,random_poisson_disk_n44_s1036,foam,45,135,-0.7,none,0.99,0.2861840002946888,1.10503296069824,0.9861840002946888,0.2851095839154582,1.0033116218726983,0.9851095839154582,0.2754637737983832,1.002231251936566,0.9754637737983831,0.27468241675750915,0.994995448133566,2.303432425688759e-13,1,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1\design_g1_9.npz,ok,
