run_id,topo_name,topo_class,n_nodes,n_bond,nu_target,band,band_f,nu_sim_initial,E_sim_initial,err_initial,nu_sim_konly,E_sim_konly,err_konly,nu_sim_full,E_sim_full,err_full,nu_solver_full,kmin_avg,solver_sim_gap,trustworthy,design_path,status,error
0,bravais_phi1.4_psi1.0_eta0.2_s1,bravais,60,180,0.5,soft,0.0,0.2949421653861024,1.089662568801425,0.2050578346138976,0.4998821854934787,0.9999999999999245,0.00011781450652131875,0.5000560521785031,0.999999999999923,5.6052178503129824e-05,0.5000560521785126,0.1201878345278863,7.682534460286161e-13,1,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1_frontier\design_g1_0.npz,ok,
1,bravais_phi1.4_psi0.8_eta0.2_s0,bravais,60,180,0.5,large,0.1,0.3039065793950835,1.1153009157981275,0.19609342060491652,0.5000793285349916,1.0000000000000135,7.93285349915962e-05,0.5000304144779104,1.0000000000000182,3.0414477910412074e-05,0.5000304144779095,0.23307977493783041,5.847438878589075e-13,1,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1_frontier\design_g1_1.npz,ok,
2,bravais_phi0.8_psi1.2_eta0.2_s0,bravais,30,90,0.6,soft,0.0,0.2933281000502618,1.0840769239051062,0.3066718999497382,0.6004498663070774,0.9999999999997758,0.00044986630707744,0.6000244825247097,0.99999999999978,2.4482524709767972e-05,0.6000244825247081,0.06161221390556134,5.988047614733807e-13,1,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1_frontier\design_g1_2.npz,ok,
3,bravais_phi1.0_psi1.0_eta0.2_s1,bravais,36,108,0.6,large,0.1,0.28087520166275926,1.0769616006744382,0.3191247983372407,0.5670598128932591,1.006205101921116,0.03294018710674085,0.5813858007506727,1.0020364528047858,0.01861419924932728,0.5809859880205606,0.1872591307954687,0.010892208588905682,1,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1_frontier\design_g1_3.npz,ok,
4,bravais_phi1.0_psi1.0_eta0.0_s0,bravais,36,108,0.7,soft,0.0,0.3333333333333094,1.1547005383791658,0.36666666666669057,0.69753706235465,1.0052767518944923,0.002462937645349994,0.6943857444665733,1.0189615491354598,0.005614255533426649,0.6998300637841917,0.0643899369373394,0.059362894749262304,0,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1_frontier\design_g1_4.npz,ok,
5,auxetic_rotating_squares_t15.0_r4,auxetic,32,100,0.7,large,0.1,0.2686331857316152,1.1380249280888837,0.43136681426838475,0.4956221580386526,1.1936174307511442,0.20437784196134734,0.5256446161309665,1.200917144985877,0.1743553838690335,0.5896021125075578,0.192054241381005,0.4283887767383435,0,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1_frontier\design_g1_5.npz,ok,
6,bravais_phi0.8_psi1.2_eta0.0_s0,bravais,30,90,0.8,soft,0.0,0.32719668933666757,1.1467852758437616,0.4728033106633325,0.791030465994714,0.9999999999999413,0.008969534005285995,0.8007300709120025,0.9999999999999197,0.0007300709120025006,0.800730070912008,0.019397237757057626,2.2065441974846801e-13,1,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1_frontier\design_g1_6.npz,ok,
7,bravais_phi0.8_psi0.8_eta0.2_s0,bravais,60,180,0.8,large,0.1,0.30121349034381373,1.105880870930295,0.4987865096561863,0.6045391743575523,1.0000000000001807,0.1954608256424477,0.6197461872906063,1.0000000000000386,0.18025381270939378,0.6197461872906477,0.186912801814561,8.733666740595389e-13,1,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1_frontier\design_g1_7.npz,ok,
8,bravais_phi1.2_psi1.2_eta0.0_s0,bravais,30,90,0.9,soft,0.0,0.3271966893366675,1.1467852758437618,0.5728033106633326,0.8891158069190827,0.9999999999999449,0.01088419308091737,0.8914682167450052,0.9999999999999357,0.008531783254994818,0.8914682167450099,0.015228712176184978,1.5566937508721866e-13,1,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1_frontier\design_g1_8.npz,ok,
9,flipped_s310_f8,flipped,51,153,0.9,large,0.1,0.2008649059953332,1.0262662577123356,0.6991350940046668,0.6026121827628353,1.000000000000692,0.2973878172371647,0.6124017725796727,1.0000000000006084,0.28759822742032737,0.6124017725795002,0.1970872578050111,1.6461747882886357e-12,1,C:\Users\doron\Documents\GitHub\MATERIALIZE\Phase 5\networks\goal1_frontier\design_g1_9.npz,ok,
